year,make,model,trim,days_to_sell
2012,Nissan,Altima,S,88
2012,Nissan,Altima,S,89
2012,Nissan,Altima,S,92
2012,Nissan,Altima,S,94
2012,Nissan,Altima,S,95
2012,Nissan,Altima,S,96
2012,Nissan,Altima,S,97
2012,Nissan,Altima,S,99
2012,Nissan,Altima,S,100
2012,Nissan,Altima,S,101
2012,Nissan,Altima,S,102
2012,Nissan,Altima,S,103
2012,Nissan,Altima,S,104
2012,Nissan,Altima,S,105
2012,Nissan,Altima,S,106
2012,Nissan,Altima,S,107
2012,Nissan,Altima,S,108
2012,Nissan,Altima,S,109
2012,Nissan,Altima,S,110
2012,Nissan,Altima,S,111
2012,Nissan,Altima,S,112
2012,Nissan,Altima,S,113
2012,Nissan,Altima,S,114
2012,Nissan,Altima,S,115
2012,Nissan,Altima,S,116
2012,Nissan,Altima,S,128
2012,Nissan,Altima,S,154
2012,Nissan,Altima,SE,10
2012,Nissan,Altima,SE,14
2012,Nissan,Altima,SE,20
2012,Nissan,Altima,SE,21
2012,Nissan,Altima,SE,37
2012,Nissan,Altima,SE,39
2012,Nissan,Altima,SE,61
2012,Nissan,Altima,SE,68
2012,Nissan,Altima,SE,106
2012,Nissan,Armada,LE,9
2012,Nissan,Armada,LE,14
2012,Nissan,Armada,LE,18
2012,Nissan,Armada,LE,27
2012,Nissan,Armada,LE,52
2012,Nissan,Armada,LE,53
2012,Nissan,Juke,S,9
2012,Nissan,Juke,S,18
2012,Nissan,Juke,S,27
2012,Nissan,Juke,S,141
2012,Nissan,Juke,SL,8
2012,Nissan,Juke,SL,36
2012,Nissan,Juke,SL,41
2012,Nissan,Juke,SL,47
2012,Nissan,Juke,SL,101
2012,Nissan,Juke,SL,103
2012,Nissan,Juke,SL,107
2012,Nissan,Juke,SL,114
2012,Nissan,Maxima,S,57
2012,Nissan,Maxima,S,95
2012,Nissan,Maxima,S,106
2012,Nissan,Maxima,S,111
2012,Nissan,Maxima,S,118
2012,Nissan,Maxima,S,154
2012,Nissan,Maxima,SL,68
2012,Nissan,Maxima,SR,17
2012,Nissan,Maxima,SR,47
2012,Nissan,Maxima,SR,64
2012,Nissan,Maxima,SR,105
2012,Nissan,Maxima,SR,115
2012,Nissan,Maxima,SV,8
2012,Nissan,Maxima,SV,9
2012,Nissan,Maxima,SV,17
2012,Nissan,Maxima,SV,21
2012,Nissan,Maxima,SV,32
2012,Nissan,Maxima,SV,38
2012,Nissan,Maxima,SV,47
2012,Nissan,Maxima,SV,54
2012,Nissan,Maxima,SV,77
2012,Nissan,Maxima,SV,93
2012,Nissan,Maxima,SV,95
2012,Nissan,Maxima,SV,114
2012,Nissan,Micra,SL,47
2012,Nissan,Micra,SL,60
2012,Nissan,Micra,SL,104
2012,Nissan,Micra,SL+,97
2012,Nissan,Pathfinder,LE,14
2012,Nissan,Pathfinder,LE,18
2012,Nissan,Pathfinder,LE,19
2012,Nissan,Pathfinder,LE,23
2012,Nissan,Pathfinder,LE,31
2012,Nissan,Pathfinder,LE,61
2012,Nissan,Pathfinder,LE,64
2012,Nissan,Pathfinder,LE,75
2012,Nissan,Pathfinder,LE,95
2012,Nissan,Pathfinder,LE,97
2012,Nissan,Pathfinder,S,24
2012,Nissan,Pathfinder,S,50
2012,Nissan,Pathfinder,S,95
2012,Nissan,Pathfinder,S,102
2012,Nissan,Pathfinder,S,105
2012,Nissan,Pathfinder,S,109
2012,Nissan,Pathfinder,SE,71
2012,Nissan,Patrol,"HT Safari",126
2012,Nissan,Patrol,"LE Platinum",9
2012,Nissan,Patrol,"LE Platinum",13
2012,Nissan,Patrol,"LE Platinum",24
2012,Nissan,Patrol,"LE Platinum",30
2012,Nissan,Patrol,"LE Platinum",94
2012,Nissan,Patrol,"LE Platinum",99
2012,Nissan,Patrol,"LE T1",104
2012,Nissan,Patrol,"SE Platinum",11
2012,Nissan,Patrol,"SE Platinum",13
2012,Nissan,Patrol,"SE Platinum",18
2012,Nissan,Patrol,"SE Platinum",51
2012,Nissan,Patrol,"SE Platinum",57
2012,Nissan,Patrol,"SE Platinum",64
2012,Nissan,Patrol,"SE Platinum",96
2012,Nissan,Patrol,"SE T1",46
2012,Nissan,Patrol,"SE T1",47
2012,Nissan,Patrol,"SE T1",50
2012,Nissan,Patrol,"SE T1",100
2012,Nissan,Patrol,"SE T1",102
2012,Nissan,Patrol,"SE T1",108
2012,Nissan,Qashqai,LE,23
2012,Nissan,Qashqai,LE,31
2012,Nissan,Qashqai,LE,33
2012,Nissan,Qashqai,S,31
2012,Nissan,Qashqai,S,38
2012,Nissan,Qashqai,SE,9
2012,Nissan,Qashqai,SE,24
2012,Nissan,Qashqai,SE,33
2012,Nissan,Qashqai,SE,43
2012,Nissan,Qashqai,SE,46
2012,Nissan,Qashqai,SE,50
2012,Nissan,Qashqai,SE,55
2012,Nissan,Sunny,S,9
2012,Nissan,Sunny,S,11
2012,Nissan,Sunny,S,13
2012,Nissan,Sunny,S,18
2012,Nissan,Sunny,S,29
2012,Nissan,Sunny,S,43
2012,Nissan,Sunny,S,53
2012,Nissan,Sunny,S,106
2012,Nissan,Sunny,S,107
2012,Nissan,Sunny,SE,16
2012,Nissan,Sunny,SE,18
2012,Nissan,Sunny,SE,72
2012,Nissan,Sunny,SE,95
2012,Nissan,Sunny,SE,107
2012,Nissan,Sunny,SV,68
2012,Nissan,Sunny,SV,72
2012,Nissan,Sunny,SV,95
2012,Nissan,Sunny,SV,100
2012,Nissan,Sunny,SV,103
2012,Nissan,Sunny,SV,105
2012,Nissan,Sunny,SV,113
2012,Nissan,Sunny,SV,114
2012,Nissan,Tiida,S,8
2012,Nissan,Tiida,S,9
2012,Nissan,Tiida,S,10
2012,Nissan,Tiida,S,12
2012,Nissan,Tiida,S,13
2012,Nissan,Tiida,S,20
2012,Nissan,Tiida,S,22
2012,Nissan,Tiida,S,24
2012,Nissan,Tiida,S,25
2012,Nissan,Tiida,S,30
2012,Nissan,Tiida,S,37
2012,Nissan,Tiida,S,47
2012,Nissan,Tiida,S,49
2012,Nissan,Tiida,S,67
2012,Nissan,Tiida,S,89
2012,Nissan,Tiida,S,95
2012,Nissan,Tiida,S,96
2012,Nissan,Tiida,S,99
2012,Nissan,Tiida,S,103
2012,Nissan,Tiida,S,105
